Epoch #1: 2it [00:00,  2.20it/s, env_step=1, len=0, loss/critic=29643.314, n/ep=0, n/st=1, overall_loss=1.500, rew=0.00]
Epoch #2: 2it [00:00, 64.74it/s, env_step=2, len=0, loss/critic=40041.903, n/ep=0, n/st=1, overall_loss=1.248, rew=0.00]
Epoch #3: 2it [00:00, 75.25it/s, env_step=3, len=0, loss/critic=71204.722, n/ep=0, n/st=1, overall_loss=1.079, rew=0.00]
Epoch #4: 2it [00:00, 75.74it/s, env_step=4, len=0, loss/critic=83730.112, n/ep=0, n/st=1, overall_loss=0.945, rew=0.00]
Epoch #5: 2it [00:00, 77.79it/s, env_step=5, len=0, loss/critic=90176.386, n/ep=0, n/st=1, overall_loss=0.850, rew=0.00]
Epoch #6: 2it [00:00, 76.62it/s, env_step=6, len=0, loss/critic=92918.496, n/ep=0, n/st=1, overall_loss=0.776, rew=0.00]
Epoch #7: 2it [00:00, 75.82it/s, env_step=7, len=0, loss/critic=94021.914, n/ep=0, n/st=1, overall_loss=0.713, rew=0.00]
Epoch #8: 2it [00:00, 75.86it/s, env_step=8, len=0, loss/critic=93131.222, n/ep=0, n/st=1, overall_loss=0.663, rew=0.00]
Epoch #9: 2it [00:00, 74.74it/s, env_step=9, len=0, loss/critic=92312.463, n/ep=0, n/st=1, overall_loss=0.619, rew=0.00]
Epoch #10: 2it [00:00, 10.98it/s, env_step=10, len=0, loss/critic=90775.681, n/ep=0, n/st=1, overall_loss=0.581, rew=0.00]
Epoch #11: 2it [00:00, 75.42it/s, env_step=11, len=0, loss/critic=89299.220, n/ep=0, n/st=1, overall_loss=0.547, rew=0.00]
Epoch #12:   0%|                                                         | 0/1 [00:00<?, ?it/s]
Epoch #1: test_reward: -178.054343 ± 0.000000, best_reward: -178.054343 ± 0.000000 in #1
Epoch #2: test_reward: -88.312514 ± 0.000000, best_reward: -88.312514 ± 0.000000 in #2
Epoch #3: test_reward: -73.096614 ± 0.000000, best_reward: -73.096614 ± 0.000000 in #3
Epoch #4: test_reward: -106.711910 ± 0.000000, best_reward: -73.096614 ± 0.000000 in #3
Epoch #5: test_reward: -125.520895 ± 0.000000, best_reward: -73.096614 ± 0.000000 in #3
Epoch #6: test_reward: -109.523632 ± 0.000000, best_reward: -73.096614 ± 0.000000 in #3
Epoch #7: test_reward: -106.762883 ± 0.000000, best_reward: -73.096614 ± 0.000000 in #3
Epoch #8: test_reward: -62.655826 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #9: test_reward: -109.944257 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #10: test_reward: -97.989984 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #11: test_reward: -144.997934 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #12: test_reward: -104.900110 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #13: test_reward: -104.162432 ± 0.000000, best_reward: -62.655826 ± 0.000000 in #8
Epoch #14: test_reward: -6.962936 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #15: test_reward: -93.332109 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #16: test_reward: -78.704917 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #17: test_reward: -136.849385 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #18: test_reward: -74.947901 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #19: test_reward: -56.059739 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #20: test_reward: -63.584718 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #21: test_reward: -120.937867 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #22: test_reward: -47.079620 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #23: test_reward: -130.106734 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #24: test_reward: -104.818718 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #25: test_reward: -120.961398 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #26: test_reward: -114.799488 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #27: test_reward: -59.621917 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #28: test_reward: -102.237379 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #29: test_reward: -102.227677 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #30: test_reward: -79.437276 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #31: test_reward: -129.396769 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #32: test_reward: -84.084597 ± 0.000000, best_reward: -6.962936 ± 0.000000 in #14
Epoch #12: 2it [00:00, 76.40it/s, env_step=12, len=0, loss/critic=87288.563, n/ep=0, n/st=1, overall_loss=0.518, rew=0.00]
Epoch #13: 2it [00:00, 76.61it/s, env_step=13, len=0, loss/critic=85413.477, n/ep=0, n/st=1, overall_loss=0.492, rew=0.00]
Epoch #14: 2it [00:00, 76.87it/s, env_step=14, len=0, loss/critic=83670.804, n/ep=0, n/st=1, overall_loss=0.469, rew=0.00]
Epoch #15: 2it [00:00, 74.63it/s, env_step=15, len=0, loss/critic=83816.278, n/ep=0, n/st=1, overall_loss=0.447, rew=0.00]
Epoch #16: 2it [00:00, 76.71it/s, env_step=16, len=0, loss/critic=83721.698, n/ep=0, n/st=1, overall_loss=0.428, rew=0.00]
Epoch #17: 2it [00:00, 76.40it/s, env_step=17, len=0, loss/critic=83722.180, n/ep=0, n/st=1, overall_loss=0.411, rew=0.00]
Epoch #18: 2it [00:00, 75.83it/s, env_step=18, len=0, loss/critic=83755.968, n/ep=0, n/st=1, overall_loss=0.395, rew=0.00]
Epoch #19: 2it [00:00, 75.76it/s, env_step=19, len=0, loss/critic=83680.460, n/ep=0, n/st=1, overall_loss=0.380, rew=0.00]
Epoch #20: 2it [00:00, 76.63it/s, env_step=20, len=0, loss/critic=83796.382, n/ep=0, n/st=1, overall_loss=0.367, rew=0.00]
Epoch #21: 2it [00:00, 75.93it/s, env_step=21, len=0, loss/critic=83898.168, n/ep=0, n/st=1, overall_loss=0.354, rew=0.00]
Epoch #22: 2it [00:00, 77.02it/s, env_step=22, len=0, loss/critic=84076.967, n/ep=0, n/st=1, overall_loss=0.342, rew=0.00]
Epoch #23: 2it [00:00, 76.37it/s, env_step=23, len=0, loss/critic=84093.549, n/ep=0, n/st=1, overall_loss=0.331, rew=0.00]
Epoch #24: 2it [00:00, 75.32it/s, env_step=24, len=24, loss/critic=84175.464, n/ep=1, n/st=1, overall_loss=0.321, rew=-1803.76]
Epoch #25: 2it [00:00, 75.42it/s, env_step=25, len=1, loss/critic=83966.991, n/ep=1, n/st=1, overall_loss=0.311, rew=-109.26]
Epoch #26: 2it [00:00, 75.41it/s, env_step=26, len=1, loss/critic=83785.525, n/ep=1, n/st=1, overall_loss=0.302, rew=-68.89]
Epoch #27: 2it [00:00, 75.47it/s, env_step=27, len=1, loss/critic=83278.604, n/ep=1, n/st=1, overall_loss=0.293, rew=-127.74]
Epoch #28: 2it [00:00, 76.05it/s, env_step=28, len=1, loss/critic=82711.440, n/ep=1, n/st=1, overall_loss=0.285, rew=-43.06]
Epoch #29: 2it [00:00, 75.69it/s, env_step=29, len=1, loss/critic=81945.945, n/ep=1, n/st=1, overall_loss=0.277, rew=-188.81]
Epoch #30: 2it [00:00, 75.68it/s, env_step=30, len=1, loss/critic=81240.006, n/ep=1, n/st=1, overall_loss=0.270, rew=-127.48]
Epoch #31: 2it [00:00, 75.77it/s, env_step=31, len=1, loss/critic=80402.786, n/ep=1, n/st=1, overall_loss=0.263, rew=-131.59]
Epoch #32: 2it [00:00, 74.55it/s, env_step=32, len=1, loss/critic=79421.677, n/ep=1, n/st=1, overall_loss=0.257, rew=-60.41]
Epoch #33: 2it [00:00, 74.31it/s, env_step=33, len=1, loss/critic=78446.629, n/ep=1, n/st=1, overall_loss=0.250, rew=-29.32]
Epoch #34: 2it [00:00, 37.26it/s, env_step=34, len=1, loss/critic=77457.245, n/ep=1, n/st=1, overall_loss=0.245, rew=-107.36]
Epoch #35: 2it [00:00, 37.91it/s, env_step=35, len=1, loss/critic=76471.148, n/ep=1, n/st=1, overall_loss=0.239, rew=-74.24]
Epoch #36: 2it [00:00, 37.26it/s, env_step=36, len=1, loss/critic=75505.811, n/ep=1, n/st=1, overall_loss=0.234, rew=-33.49]
Epoch #37: 2it [00:00, 48.06it/s, env_step=37, len=1, loss/critic=74479.867, n/ep=1, n/st=1, overall_loss=0.229, rew=-86.54]
Epoch #38: 2it [00:00, 57.52it/s, env_step=38, len=1, loss/critic=73317.799, n/ep=1, n/st=1, overall_loss=0.224, rew=-118.10]
Epoch #39: 2it [00:00, 66.09it/s, env_step=39, len=1, loss/critic=72172.576, n/ep=1, n/st=1, overall_loss=0.219, rew=-172.45]
Epoch #40: 2it [00:00, 67.94it/s, env_step=40, len=1, loss/critic=71080.857, n/ep=1, n/st=1, overall_loss=0.215, rew=-72.14]
Epoch #41: 2it [00:00, 68.54it/s, env_step=41, len=1, loss/critic=70024.693, n/ep=1, n/st=1, overall_loss=0.211, rew=-92.11]
Epoch #42: 2it [00:00, 68.27it/s, env_step=42, len=1, loss/critic=68930.291, n/ep=1, n/st=1, overall_loss=0.207, rew=-133.61]
Epoch #43: 2it [00:00, 68.76it/s, env_step=43, len=1, loss/critic=67832.637, n/ep=1, n/st=1, overall_loss=0.203, rew=-74.76]
Epoch #44: 2it [00:00, 67.86it/s, env_step=44, len=1, loss/critic=66726.341, n/ep=1, n/st=1, overall_loss=0.199, rew=-70.99]
Epoch #45: 2it [00:00, 68.61it/s, env_step=45, len=1, loss/critic=65638.672, n/ep=1, n/st=1, overall_loss=0.196, rew=-87.81]
Epoch #46: 2it [00:00, 68.21it/s, env_step=46, len=1, loss/critic=64568.119, n/ep=1, n/st=1, overall_loss=0.192, rew=-84.10]
Epoch #47: 2it [00:00, 68.30it/s, env_step=47, len=1, loss/critic=63498.335, n/ep=1, n/st=1, overall_loss=0.189, rew=-124.07]
Epoch #48: 2it [00:00, 68.42it/s, env_step=48, len=1, loss/critic=62518.667, n/ep=1, n/st=1, overall_loss=0.186, rew=-102.44]
